image_id,img_rank,npy_file,patch_rank,patch_idx,row,col,score,pred_label,true_label,correct
456,0,ips_ddr_v1_patches_00_img456.npy,0,24,3,3,0.296935,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,1,31,4,3,0.200854,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,2,30,4,2,0.109687,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,3,11,1,4,0.076583,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,4,9,1,2,0.062772,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,5,25,3,4,0.048797,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,6,23,3,2,0.051223,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,7,27,3,6,0.051064,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,8,21,3,0,0.051048,0,0,1
456,0,ips_ddr_v1_patches_00_img456.npy,9,6,0,6,0.051036,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,0,23,3,2,0.230072,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,1,24,3,3,0.149567,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,2,22,3,1,0.137661,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,3,10,1,3,0.10492,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,4,30,4,2,0.071101,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,5,20,2,6,0.072098,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,6,13,1,6,0.058645,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,7,7,1,0,0.058645,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,8,0,0,0,0.058645,0,0,1
102,1,ips_ddr_v1_patches_01_img102.npy,9,6,0,6,0.058645,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,0,25,3,4,0.287928,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,1,44,6,2,0.113542,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,2,24,3,3,0.098836,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,3,17,2,3,0.098006,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,4,37,5,2,0.085403,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,5,39,5,4,0.075112,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,6,9,1,2,0.063599,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,7,45,6,3,0.063066,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,8,3,0,3,0.060434,0,0,1
1126,2,ips_ddr_v1_patches_02_img1126.npy,9,18,2,4,0.054075,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,0,24,3,3,0.594837,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,1,3,0,3,0.069086,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,2,26,3,5,0.046385,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,3,31,4,3,0.049161,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,4,15,2,1,0.038456,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,5,0,0,0,0.040415,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,6,5,0,5,0.040415,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,7,1,0,1,0.040415,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,8,20,2,6,0.040415,0,0,1
1003,3,ips_ddr_v1_patches_03_img1003.npy,9,6,0,6,0.040415,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,0,24,3,3,0.272466,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,1,25,3,4,0.22768,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,2,22,3,1,0.10452,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,3,10,1,3,0.096095,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,4,11,1,4,0.075079,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,5,17,2,3,0.047737,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,6,31,4,3,0.047516,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,7,19,2,5,0.045369,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,8,3,0,3,0.043406,0,0,1
914,4,ips_ddr_v1_patches_04_img914.npy,9,4,0,4,0.040131,0,0,1
