image_id,img_rank,npy_file,patch_rank,patch_idx,scale,row,col,score,pred_label,true_label,correct
5238,0,msips_rsna_v1_patches_00_img5238.npy,0,46,0,5,6,0.309998,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,1,34,0,4,2,0.178537,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,2,29,0,3,5,0.166253,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,3,38,0,4,6,0.107368,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,4,37,0,4,5,0.083881,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,5,45,0,5,5,0.040225,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,6,22,0,2,6,0.033295,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,7,42,0,5,2,0.032266,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,8,43,0,5,3,0.024205,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,9,27,0,3,3,0.023972,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,0,53,0,6,5,0.414058,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,1,45,0,5,5,0.194275,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,2,42,0,5,2,0.136195,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,3,34,0,4,2,0.088326,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,4,52,0,6,4,0.081666,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,5,44,0,5,4,0.031793,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,6,41,0,5,1,0.018874,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,7,27,0,3,3,0.015852,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,8,4,0,0,4,0.014366,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,9,12,0,1,4,0.004596,0,0,1
204,2,msips_rsna_v1_patches_02_img204.npy,0,37,0,4,5,0.297552,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,1,46,0,5,6,0.181921,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,2,42,0,5,2,0.167187,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,3,50,0,6,2,0.138376,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,4,49,0,6,1,0.093295,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,5,51,0,6,3,0.044779,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,6,38,0,4,6,0.025012,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,7,33,0,4,1,0.018901,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,8,43,0,5,3,0.018061,0,1,0
204,2,msips_rsna_v1_patches_02_img204.npy,9,45,0,5,5,0.014917,0,1,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,0,34,0,4,2,0.309925,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,1,37,0,4,5,0.243716,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,2,45,0,5,5,0.111948,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,3,26,0,3,2,0.104433,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,4,28,0,3,4,0.055674,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,5,20,0,2,4,0.049978,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,6,42,0,5,2,0.046621,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,7,41,0,5,1,0.031147,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,8,36,0,4,4,0.029987,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,9,54,0,6,6,0.01657,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,0,21,0,2,5,0.258101,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,1,34,0,4,2,0.221652,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,2,26,0,3,2,0.163617,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,3,19,0,2,3,0.14498,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,4,11,0,1,3,0.067209,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,5,18,0,2,2,0.040712,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,6,15,0,1,7,0.030609,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,7,29,0,3,5,0.030464,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,8,27,0,3,3,0.023371,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,9,13,0,1,5,0.019285,1,0,0
