image_id,img_rank,npy_file,patch_rank,patch_idx,scale,row,col,score,pred_label,true_label,correct
5238,0,msips_rsna_v1_patches_00_img5238.npy,0,46,0,5,6,0.218954,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,1,38,0,4,6,0.203989,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,2,29,0,3,5,0.165753,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,3,37,0,4,5,0.128374,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,4,34,0,4,2,0.124582,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,5,27,0,3,3,0.055422,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,6,22,0,2,6,0.042023,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,7,35,0,4,3,0.024689,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,8,18,0,2,2,0.021955,0,0,1
5238,0,msips_rsna_v1_patches_00_img5238.npy,9,26,0,3,2,0.014259,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,0,42,0,5,2,0.173901,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,1,45,0,5,5,0.151661,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,2,44,0,5,4,0.147798,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,3,34,0,4,2,0.138763,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,4,4,0,0,4,0.121162,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,5,53,0,6,5,0.104717,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,6,36,0,4,4,0.069778,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,7,27,0,3,3,0.041749,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,8,52,0,6,4,0.025537,0,0,1
912,1,msips_rsna_v1_patches_01_img912.npy,9,41,0,5,1,0.024935,0,0,1
204,2,msips_rsna_v1_patches_02_img204.npy,0,37,0,4,5,0.269913,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,1,50,0,6,2,0.217748,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,2,42,0,5,2,0.196687,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,3,46,0,5,6,0.130746,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,4,49,0,6,1,0.045877,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,5,34,0,4,2,0.033106,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,6,38,0,4,6,0.03241,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,7,9,0,1,1,0.025646,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,8,51,0,6,3,0.023964,1,1,1
204,2,msips_rsna_v1_patches_02_img204.npy,9,30,0,3,6,0.023902,1,1,1
6074,3,msips_rsna_v1_patches_03_img6074.npy,0,37,0,4,5,0.281308,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,1,26,0,3,2,0.174705,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,2,34,0,4,2,0.170063,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,3,45,0,5,5,0.152828,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,4,41,0,5,1,0.060609,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,5,42,0,5,2,0.052897,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,6,29,0,3,5,0.042146,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,7,28,0,3,4,0.032479,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,8,10,0,1,2,0.018752,1,0,0
6074,3,msips_rsna_v1_patches_03_img6074.npy,9,18,0,2,2,0.014213,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,0,21,0,2,5,0.515532,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,1,19,0,2,3,0.162659,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,2,26,0,3,2,0.101039,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,3,34,0,4,2,0.064232,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,4,29,0,3,5,0.045027,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,5,13,0,1,5,0.044161,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,6,14,0,1,6,0.021924,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,7,15,0,1,7,0.017106,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,8,11,0,1,3,0.014738,1,0,0
2253,4,msips_rsna_v1_patches_04_img2253.npy,9,4,0,0,4,0.013583,1,0,0
